full_name,email,clerkship,avail,location,numstu
Paul Wyness,pwyness0@cbc.ca,Neurology,001011000111001011000111,Dallas,1
Clywd Ivison,civison1@psu.edu,Neurology,000010000000000010000000,Mansfield,2
Heloise Haslock,hhaslock2@photobucket.com,Neurology,000000111100000000111100,Fort Worth,1
Alica Enevoldsen,aenevoldsen3@unesco.org,Neurology,000110100100000110100100,Keller/Southlake/Alliance,2
Broddy Snassell,bsnassell4@sbwire.com,Neurology,000001100000000001100000,Keller/Southlake/Alliance,1
Nicko Mewis,nmewis5@google.co.jp,Neurology,010001001000010001001000,Mansfield,2
Ali Bysshe,abysshe6@instagram.com,Neurology,010100100000010100100000,Keller/Southlake/Alliance,2
Marietta Darkins,mdarkins7@geocities.jp,Neurology,001000011110001000011110,Arlington,2
Leisha Caselick,lcaselick8@ox.ac.uk,Neurology,010000100000010000100000,Dallas,2
Renae Zipsell,rzipsell9@sourceforge.net,Neurology,000010010000000010010000,Mansfield,1
Aimil O'Feeny,aofeenya@skype.com,Neurology,000010000000000010000000,Denton,1
Quintina Wastie,qwastieb@123-reg.co.uk,Neurology,000001000000000001000000,Denton,1
Allis Rosenberger,arosenbergerc@upenn.edu,Neurology,001000100000001000100000,Mansfield,1
Traci Ivanyutin,tivanyutind@facebook.com,Neurology,100100000000100100000000,Keller/Southlake/Alliance,1
Cece Blasl,cblasle@nydailynews.com,Neurology,001100001001001100001001,Mansfield,1
Tibold Bittlestone,tbittlestonef@disqus.com,Neurology,010000100000010000100000,Arlington,1
Cointon Wildin,cwilding@latimes.com,Neurology,010101000000010101000000,Fort Worth,2
Nelie Defond,ndefondh@vk.com,Neurology,001000100101001000100101,Arlington,1
Pebrook Lody,plodyi@loc.gov,Neurology,000000000011000000000011,Keller/Southlake/Alliance,1
Dougie Rapin,drapinj@marriott.com,Neurology,000110000000000110000000,Dallas,2
Angeli Lichtfoth,alichtfothk@bigcartel.com,Neurology,001011110100001011110100,Fort Worth,1
Xylina Bollen,xbollenl@instagram.com,Neurology,000101000110000101000110,Dallas,1
Margeaux Cicccitti,mcicccittim@hexun.com,Neurology,101000000010101000000010,Keller/Southlake/Alliance,2
Salli Fidele,sfidelen@xing.com,Neurology,000110100000000110100000,Denton,1
Gretal Carbry,gcarbryo@histats.com,Neurology,010010001000010010001000,Arlington,2
Philomena Robinson,probinsonp@google.ca,Neurology,110000101100110000101100,Denton,2
Beniamino Siuda,bsiudaq@vkontakte.ru,Neurology,010000101000010000101000,Mansfield,2
Christine McKnish,cmcknishr@123-reg.co.uk,Neurology,100010001000100010001000,Arlington,2
Alva Deveril,adeverils@simplemachines.org,Neurology,001000110011001000110011,Dallas,1
Elden Giovannacci,egiovannaccit@si.edu,Neurology,000101001011000101001011,Keller/Southlake/Alliance,1
Renell Hallows,rhallowsu@ifeng.com,Neurology,000000000010000000000010,Denton,2
Tibold Fadden,tfaddenv@wisc.edu,Neurology,001101011000001101011000,Denton,1
Bertrand Toffoletto,btoffolettow@xing.com,Neurology,000000010000000000010000,Keller/Southlake/Alliance,1
Ario Ritelli,aritellix@blogger.com,Neurology,000000000100000000000100,Keller/Southlake/Alliance,1
Germayne Antos,gantosy@uiuc.edu,Neurology,000001000000000001000000,Fort Worth,1
Olia Twelvetrees,otwelvetreesz@jalbum.net,Neurology,100100010000100100010000,Denton,2
Desmund Youson,dyouson10@hugedomains.com,Neurology,110001100101110001100101,Fort Worth,1
Barr Santoro,bsantoro11@php.net,Neurology,000111000100000111000100,Dallas,2
Ebeneser Girth,egirth12@imgur.com,Neurology,111001000001111001000001,Dallas,1
Reube Shillaber,rshillaber13@naver.com,Neurology,000000110010000000110010,Fort Worth,1
Jonis Addington,jaddington14@state.gov,Neurology,001000010101001000010101,Mansfield,1
Cate Erbain,cerbain15@storify.com,Neurology,100000010011100000010011,Fort Worth,2
Leonore Mayger,lmayger16@yale.edu,Neurology,000001010100000001010100,Mansfield,2
Eamon Tubbles,etubbles17@shutterfly.com,Neurology,110000000010110000000010,Denton,2
Maxy Tidswell,mtidswell18@pen.io,Neurology,101000000100101000000100,Mansfield,2
Niki Tuffey,ntuffey19@elpais.com,Neurology,000000001000000000001000,Denton,1
Merill Pisculli,mpisculli1a@auda.org.au,Neurology,010000000000010000000000,Fort Worth,2
Kare Hetterich,khetterich1b@yale.edu,Neurology,010000000000010000000000,Fort Worth,2
Elita De Witt,ede1c@woothemes.com,Neurology,100100000100100100000100,Mansfield,2
Abraham Steer,asteer1d@virginia.edu,Neurology,011000000101011000000101,Mansfield,1
Washington Kienlein,wkienlein1e@gnu.org,Neurology,011000001000011000001000,Fort Worth,2
Pierre Addicote,paddicote1f@npr.org,Neurology,100101001000100101001000,Arlington,1
Rog Doylend,rdoylend1g@tamu.edu,Neurology,010100001001010100001001,Denton,1
