first_name,last_name,email,Neuro,FM,IM,Sur,OBG,Ped,Phsy
Syd,Gorbell,sgorbell0@4shared.com,MonAM,WedPM,FriAM,ThursPM,TuesAM,WedAM
Conny,Haggerty,chaggerty1@51.la,WedPM,MonAM,FriAM,ThursAM,TuesPM,SatAM
Hamlen,MacDearmid,hmacdearmid2@ocn.ne.jp,FriAM,WedPM,MonPM,ThursPM,TuesAM,WedAM
Brunhilde,Caw,bcaw3@state.tx.us,TuesPM,FriPM,WedAM,SatPM,MonPM,TuesAM
Hallie,Bradden,hbradden4@etsy.com,SatPM,MonPM,TuesAM,ThursAM,FriPM,SatAM
Bradly,Groneway,bgroneway5@nps.gov,MonAM,WedPM,FriAM,ThursAM,TuesPM,SatAM
Annette,Brody,abrody6@acquirethisname.com,WedPM,MonAM,FriAm,ThursAM,TuesPM,SatAM
Concordia,Mussett,cmussett7@cisco.com,FriAM,WedPM,MonPM,ThursAM,TuesPM,SatAM
Aristotle,Davitti,adavitti8@ucoz.com,SatPM,MonPM,TuesAM,ThursPM,FriAM,WedAM
Vivian,Sandom,vsandom9@auda.org.au,MonAM,WedPM,FriAM,WedAM,ThursAM,FriAm
Eva,Steeden,esteedena@wix.com,SatPM,MonPM,TuesAM,ThursAM,TuesPM,SatAM
Celine,Penhaleurack,cpenhaleurackb@go.com,FriAM,WedPM,MonPM,TuesAM,ThursAM,SatPM
Sherline,Wark,swarkc@google.nl,MonAM,WedPM,FriAM,ThursAM,TuesPM,SatAM
Krisha,Padden,kpaddend@dailymail.co.uk,SatPM,MonPM,TuesAM,ThursAM,TuesPM,SatAM
Margy,Fall,mfalle@nhs.uk,WedPM,MonAM,FriAm,ThursAM,TuesPM,SatAM
Korey,Breese,kbreesef@artisteer.com,SatPM,MonPM,TuesAM,WedPM,ThursAM,FriAm
Kai,Tisun,ktisung@aboutads.info,FriAM,WedPM,MonPM,ThursAM,TuesPM,SatAM
Ulrikaumeko,Flewin,uflewinh@infoseek.co.jp,WedPM,MonAM,FriAm,TuesAM,ThursAM,SatPM
